id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17878,"Very Nice 2Br in Copacabana w. balcony, fast WiFi",68997,Matthias,,Copacabana,-22.96592,-43.17896,Entire home/apt,191,7,251,2020-04-06,2.08,1,287
21280,Renovated Modern Apt. Near Beach,81163,Jules,,Ipanema,-22.98467,-43.19611,Entire home/apt,424,5,94,2020-03-22,1.22,1,93
25026,Beautiful Modern Decorated Studio in Copa,102840,Viviane,,Copacabana,-22.97712,-43.19045,Entire home/apt,159,7,238,2020-02-15,1.95,3,154
31560,NICE & COZY 1BDR - IPANEMA BEACH,135635,Renata,,Ipanema,-22.98302,-43.21427,Entire home/apt,344,2,282,2020-03-02,2.33,1,0
35636,Cosy flat close to Ipanema beach,153232,Patricia,,Ipanema,-22.98816,-43.19359,Entire home/apt,482,2,181,2020-03-15,2.23,1,170
35764,COPACABANA SEA BREEZE  -  RIO - 20 X Superhost,153691,Patricia Miranda & Paulo,,Copacabana,-22.98127,-43.19046,Entire home/apt,127,3,332,2020-03-13,2.81,1,124
48305,"Beach Block 6bed Penthouse, Ipanema Best Location!",70933,Alex,,Ipanema,-22.98599,-43.20299,Entire home/apt,4161,2,74,2020-03-08,0.65,5,347
48726,Rio de Janeiro Copacabana Ipanema,221941,Vana,,Copacabana,-22.98359,-43.19382,Private room,102,3,42,2019-08-08,1.31,1,0
48901,Confortable 4BD 3.5BT Atlantic avenue,222884,Marcio,,Copacabana,-22.96574,-43.17514,Entire home/apt,551,4,4,2020-03-08,0.07,1,354
49179,Djalma Ocean View - #100A,224192,David,,Copacabana,-22.9791,-43.19008,Entire home/apt,265,3,83,2020-02-17,0.90,40,270
50294,Beach Block Suites in Ipanema Best Location,70933,Alex,,Ipanema,-22.98584,-43.20305,Entire home/apt,1191,3,72,2020-02-12,0.67,5,322
50759,4 Suites lake front Barra da Tijuca,233554,Felipe,,Barra da Tijuca,-23.00307,-43.30911,Entire home/apt,3319,1,7,2017-01-08,0.13,5,365
51703,"Ocean view, block of the beach, Copacabana,Ipanema",238091,Dália,,Copacabana,-22.98208,-43.19226,Entire home/apt,132,3,181,2020-03-25,1.89,2,326
60718,Wonderful loft at the heart of Rio de Janeiro,292870,Tânia,,Flamengo,-22.92972,-43.17488,Entire home/apt,1069,7,8,2014-07-17,0.07,2,265
65546,"Beach Block 3bed Penthouse, Ipanema Best Location!",70933,Alex,,Ipanema,-22.98599,-43.20299,Entire home/apt,2457,2,59,2020-01-10,0.52,5,1
66574,Beach apart in Rio (January/February 2020),326301,Frederic,,Flamengo,-22.92873,-43.17473,Entire home/apt,259,4,1,2016-08-24,0.02,2,353
66797,Studio Apart  for rent in ipanema.,328096,Carlos,,Copacabana,-22.98282,-43.19571,Entire home/apt,148,3,197,2020-03-16,1.75,3,253
68422,Copacabana Beach Living+AirConWiFi,339264,David,,Copacabana,-22.98498,-43.19135,Private room,209,4,79,2017-11-22,0.69,1,0
70080,Apart-hotel in Ipanema with service and garage,319672,Valeria,,Ipanema,-22.9854,-43.19602,Entire home/apt,482,2,368,2020-04-11,3.58,5,121
72900,IPANEMA-Steps2BEACH!,379211,Lc,,Ipanema,-22.98467,-43.19753,Entire home/apt,450,3,14,2020-01-05,0.16,1,269
73581,Studio Between Ipanema/Copacabana,384673,Pedro,,Copacabana,-22.98027,-43.19255,Entire home/apt,164,3,143,2020-02-26,1.26,1,180
75148,Modern Copacabana near Ipanema,241334,Andrea,,Copacabana,-22.98152,-43.19018,Entire home/apt,111,5,32,2020-03-13,0.44,5,90
75585,Copacabana 2 BR Penthouse Duplex,401375,Stefan,,Copacabana,-22.98238,-43.19366,Entire home/apt,386,5,101,2020-02-24,0.89,1,215
76245,Spacious Home Heart of Rio290m4QT. Discount10%week,406651,Diogo,,Copacabana,-22.98192,-43.19397,Entire home/apt,535,2,125,2020-02-23,1.15,1,227
76300,"GREAT VIEW -Guesthouse ""CASA 48""- Santa Teresa  #1",406989,Casa 48 Guesthouse,,Santa Teresa,-22.92875,-43.19341,Private room,241,1,213,2020-03-07,2.10,6,354
76961,World's Tiniest House in Lapa,411441,Marcelle,,Centro,-22.91431,-43.18884,Entire home/apt,74,2,94,2020-03-26,0.84,2,180
77318,❤Unique RIO | retreat w/ forest view in hot spot,110002,Silvia,,Gávea,-22.97629,-43.23145,Entire home/apt,161,4,35,2020-03-08,0.39,1,32
80145,Stay in a small imperial castle !,432777,Andreas,,Santa Teresa,-22.92519,-43.19118,Private room,107,2,14,2019-10-06,0.15,2,365
84008,Cozy Apt in the heart of Copacabana,441418,José,,Copacabana,-22.96925,-43.18283,Entire home/apt,344,3,21,2020-03-04,0.23,4,348
85807,Ipanema Copa Posto 6 Studio Rio,470565,Sebastian,,Copacabana,-22.98549,-43.19295,Entire home/apt,148,2,2,2020-03-13,0.36,5,364
86670,AMAZING VIEW ON THE LEBLON/IPANEMA BOARDER.,474221,June,,Leblon,-22.98361,-43.21827,Entire home/apt,138,2,91,2020-03-02,0.84,7,138
86978,Room For a Rent : Rio de Janeiro,476838,Antonio,,Barra da Tijuca,-22.97352,-43.38242,Private room,803,1,0,,,1,365
87202,Condomínio Villagio do Campo IV,477755,Fabio,,Campo Grande,-22.88756,-43.59413,Entire home/apt,171,2,19,2020-02-26,0.41,1,0
87762,Flat Top em Ipanema à 150 metros da praia,480527,Caio,,Ipanema,-22.98386,-43.21383,Entire home/apt,302,2,15,2020-02-14,0.45,1,149
88528,COZY APARTAMENT ON THE COPACABANA BEACH BLOCK.,474221,June,,Copacabana,-22.977,-43.19041,Entire home/apt,148,2,64,2020-02-27,0.61,7,188
88781,» 30% Off « Beach 50m & Metro > 5 min!!,474221,June,,Copacabana,-22.97456,-43.18807,Entire home/apt,128,2,47,2020-03-04,0.52,7,137
89454,Charm with a great location Leblon ,487000,Patricia,,Leblon,-22.98668,-43.22171,Entire home/apt,487,2,43,2020-02-16,0.46,3,363
89862,BL27 ·NO MELHOR LUGAR DE COPACABANA,474221,June,,Copacabana,-22.97607,-43.18926,Entire home/apt,111,2,44,2020-03-15,0.48,7,137
89893,Exotic place in Rio de Janeiro.,483023,Geny,,Laranjeiras,-22.94286,-43.19356,Private room,482,1,0,,,1,365
89981,IPANEMA  QUARTO + BANHEIRO PRIVADO ,488707,Celia,,Ipanema,-22.9827,-43.2004,Private room,212,3,167,2020-02-27,1.62,1,322
90907,COPACABANA Best Location! - 3 min from ️,484054,Cleuber,,Copacabana,-22.97839,-43.19108,Entire home/apt,625,2,2,2019-12-29,0.28,1,18
92107,Lovely room in Jardim Botânico,496230,Leonor,,Humaitá,-22.95723,-43.20438,Private room,187,2,6,2020-02-26,0.07,2,364
94895,temporada,506187,Sheila,,Copacabana,-22.97049,-43.18923,Private room,128,1,7,2020-02-25,0.13,3,365
96431,Amazing ocean view !,511850,Marina E Ernani,,Barra da Tijuca,-23.01159,-43.36925,Entire home/apt,241,4,41,2020-03-22,0.47,2,329
96478,APARTAMENT IN BOTAFOGO  BEAUTIFULL,530471,Hugo,,Botafogo,-22.94505,-43.18137,Private room,171,4,0,,,3,365
97636,Rio de Janeiro for you! Go for it!,496656,Marcia  Longras,,Botafogo,-22.94169,-43.18703,Private room,112,2,17,2019-10-07,0.16,9,365
99547,Lapa Archs | Santa Teresa best studio for 2 people,524101,Fabiana,,Centro,-22.91408,-43.18233,Entire home/apt,128,2,60,2020-02-25,0.68,3,89
99971,Right in front of the beach in Rio!,525976,Ricardo,,Leblon,-22.98857,-43.22716,Entire home/apt,241,3,107,2020-02-20,0.99,1,0
101182,APARTAMENT IN FRONT OF THE BEACH,530471,Hugo,,Botafogo,-22.95012,-43.18282,Entire home/apt,201,4,0,,,3,365
103053,santa teresa bairro fatima lapa,533278,Kaka,,Santo Cristo,-22.90487,-43.20924,Private room,375,1,0,,,1,365
106372,Reveillon & Natal na Barra da Tijuca. Rj,551316,Katia,,Barra da Tijuca,-23.0089,-43.43049,Entire home/apt,359,4,7,2020-02-26,0.15,1,362
107469,Quarto confortável com vista panorâmica,556738,Casa Da Carmen E,,Santa Teresa,-22.91831,-43.1785,Private room,48,90,2,2018-12-21,0.03,4,0
108072,Nice 1 BR Apartment in Copacabana,521514,Chris,,Copacabana,-22.98322,-43.19087,Entire home/apt,238,3,140,2020-03-20,1.27,1,354
108882,Gloria Sunshine Apartment in Rio,475926,Angelica/ Fca,,Glória,-22.92002,-43.18005,Entire home/apt,238,3,57,2020-03-08,0.52,1,0
109747,IPANEMA'S MOST BEAUTIFUL VIEW for 6+2,554897,Jane,,Ipanema,-22.98645,-43.19724,Entire home/apt,1668,2,144,2020-03-11,1.40,1,326
111543,House with ocean view.,571054,Paulo,,São Conrado,-22.99866,-43.2521,Entire home/apt,15883,7,0,,,1,0
118355,HOUSE AND BREAKFAST,523251,Humberto,,Itanhangá,-22.98789,-43.31698,Private room,182,2,2,2019-03-06,0.11,6,270
125115,DISCOVERING RIO - Maracanã & Samba,622730,Claudio,,São Cristóvão,-22.90284,-43.22247,Private room,803,1,2,2013-02-12,0.02,1,365
125656,"Copacabana Studio -  5* Reviews, 5 mins to Beach",624433,Alan & Catherine,,Copacabana,-22.97,-43.18823,Entire home/apt,291,2,85,2020-02-27,0.77,1,318
