neighbourhood,listing_count,low_confidence,neighbourhood_group,centroid_lat,centroid_lon,tour_reviews_per_month_mean,tour_reviews_per_month_median,tour_reviews_total_mean,tour_entire_home_share,tour_dist_dam_square_km_median,tour_dist_rijksmuseum_km_median,tour_dist_anne_frank_km_median,tour_dist_vondelpark_km_median,tour_dist_coast_km_median,host_hhi,host_share_10plus,host_top5_share,host_multilisting_share,reg_min30_share,reg_min_nights_median,tenure_months_median,tenure_supporting_listings,rev_uncapped_median,rev_capped_median,rev_supporting_listings,occ_booked_days_median,occ_zero_availability_share,rev_divergence_ratio,occ_proxy_unreliable,price_median,price_iqr,price_cv,price_gini,price_median_entire_home_apt,price_median_hotel_room,price_median_private_room,price_median_shared_room,inactivity_never_reviewed_share,inactivity_stale_since_covid_share,topic_0_loading,topic_1_loading,topic_2_loading,topic_3_loading,topic_4_loading
Bijlmer-Centrum,112,False,,52.31767616071429,4.950300625,1.1270652173913043,0.55,26.0625,0.49107142857142855,7.1816066378209715,6.3348270952794365,7.7193758596177195,6.998004258259204,7.4360217643784425,0.012755102040816323,0.008928571428571428,0.13392857142857142,0.3125,0.008928571428571428,2.0,22.400960384153663,92,777.0,761.0,92,365.0,0.5714285714285714,1.0210249671484888,True,80.0,65.0,0.6945044197686907,0.3207561981214504,102.0,,55.0,,0.17857142857142858,0.5357142857142857,0.1832826261839902,0.36494974701949995,0.1209248734133258,0.1086201643188602,0.061508303350038096
Bijlmer-Oost,102,False,,52.32045774509805,4.975819705882353,0.9337777777777778,0.475,25.65686274509804,0.4215686274509804,8.107455758948944,7.537669605388662,8.686778906485207,8.346403056529379,7.592092380691208,0.014994232987312572,0.0,0.13725490196078433,0.3137254901960784,0.029411764705882353,2.0,29.305555555555557,90,1137.0,952.0,90,365.0,0.5784313725490197,1.194327731092437,True,80.0,64.5,0.7530921979866357,0.3280701959614511,120.0,,59.0,,0.11764705882352941,0.6078431372549019,0.16668854634777178,0.4464952981845488,0.127854861466916,0.08858341464022054,0.11155434994877818
Bos en Lommer,1087,False,,52.37860929162834,4.851976724931002,0.5577352637021717,0.33,18.940202391904325,0.8610855565777369,2.878687596789984,3.1010128234760908,2.26123554660713,2.5753382419934456,0.5574327467649648,0.0010418350515289413,0.012879484820607176,0.014719411223551058,0.11959521619135234,0.006439742410303588,2.0,38.70967741935484,967,1400.0,1390.5,967,365.0,0.7083716651333947,1.0068320747932398,True,110.0,61.0,0.5243736503753711,0.24490797688165444,120.0,,68.0,45.0,0.11039558417663294,0.7286108555657773,0.14401859714536863,0.41005284737530245,0.1364703475288704,0.14373249191428414,0.10684807114197016
Buitenveldert - Zuidas,243,False,,52.330541028806586,4.872106296296296,0.5658673469387755,0.21,16.77777777777778,0.7366255144032922,5.1343166803209614,3.6301353115491057,5.214800965380904,3.2608344533018934,5.060157415047627,0.004894240376636353,0.00823045267489712,0.05761316872427984,0.15637860082304528,0.024691358024691357,2.0,35.82887700534759,196,875.0,875.0,196,365.0,0.654320987654321,1.0,True,115.0,90.5,1.1773478413160299,0.33498736097302406,140.0,,75.0,185.0,0.1934156378600823,0.6748971193415638,0.16993177823231104,0.40390955092597997,0.12336164698764943,0.1066577882194211,0.10148902987332165
Centrum-Oost,1632,False,,52.36608277573529,4.903899221813726,0.9919756621331425,0.49,34.244485294117645,0.7236519607843137,1.3151648696359493,1.5284279548183592,1.7840790975878824,2.635758397856385,1.6450593079042766,0.0011932009323337178,0.061274509803921566,0.034926470588235295,0.33026960784313725,0.010416666666666666,2.0,38.46153846153846,1397,2898.0,2800.0,1397,365.0,0.5061274509803921,1.035,True,150.0,111.5,0.7728124535422983,0.32163866811261416,170.0,179.0,100.0,60.0,0.14399509803921567,0.5790441176470589,0.31081004225421105,0.22089167951812927,0.09219511474636026,0.07391671200226341,0.23172076520452625
Centrum-West,2071,False,,52.37555519341029,4.886861427494033,1.2216998892580286,0.6,41.690004828585224,0.6692419121197489,0.7938464124509186,1.8084087550785661,0.6540378280557934,2.4399090425753434,0.46303505328970956,0.0010690035371543432,0.0816030902945437,0.03476581361661033,0.3404152583293095,0.001931434089811685,2.0,39.62859337283301,1806,3615.75,3537.75,1806,353.0,0.4606470304200869,1.0220479118083527,True,150.0,118.5,1.1577165410437609,0.34376687917621274,180.0,186.0,102.0,52.5,0.12795750845002415,0.5528730082085949,0.2592790130472654,0.20721447849705157,0.09866058667907747,0.09430569553471277,0.259419994469802
De Aker - Nieuw Sloten,136,False,,52.34578830882353,4.799005073529411,1.164054054054054,0.41,35.169117647058826,0.5661764705882353,7.239964792152593,6.256626814203042,6.809137107851306,5.117397116458356,4.758876322160329,0.009948096885813152,0.007352941176470588,0.11029411764705882,0.27205882352941174,0.007352941176470588,2.0,29.361702127659573,111,1610.0,1425.0,111,365.0,0.5294117647058824,1.1298245614035087,True,98.5,85.75,0.9577612240445512,0.36035626071771315,134.0,68.0,74.5,,0.18382352941176472,0.5808823529411765,0.2163373265667613,0.4222156973578884,0.10580600099986365,0.05403307503045866,0.0839608412214986
De Baarsjes - Oud-West,3191,False,,52.36622678784081,4.862478273268568,0.600631725095453,0.32,21.84926355374491,0.8354747727984958,2.2655298397153807,1.752779623960424,1.8565003501085369,1.1346589632007733,0.9626696492402684,0.00043908748761721235,0.026010654967094954,0.018176120338451895,0.15763083672829833,0.007207771858351614,2.0,39.82683982683982,2881,1791.0,1750.0,2881,365.0,0.6797242243810717,1.0234285714285714,True,130.0,80.0,0.6785658971274537,0.27703229396558854,140.0,137.5,79.0,72.5,0.09714822939517392,0.7414603572547791,0.17031851884090854,0.39054612746578515,0.13141916200676462,0.1367550485668078,0.13116170720622713
De Pijp - Rivierenbuurt,2367,False,,52.35112199408534,4.897741288550908,0.6271102476930549,0.33,22.377270806928603,0.8322771440642163,2.348466384855928,1.2516555376968737,2.718465434320055,2.1507661587252094,2.978133259218656,0.0005948929165977264,0.024081115335868188,0.019433882551753275,0.1765948457963667,0.008449514152936205,2.0,38.88888888888889,2059,1900.0,1870.0,2059,365.0,0.6683565694972539,1.0160427807486632,True,140.0,98.0,1.1271593210226314,0.2962197324902555,150.0,179.0,80.0,104.5,0.13012251795521756,0.7089142374313477,0.1346288223748554,0.42464995694762947,0.1301427196455849,0.13413151338050136,0.12870723268733922
Gaasperdam - Driemond,126,False,,52.30021658730159,4.983529126984127,0.958974358974359,0.43,30.77777777777778,0.3888888888888889,10.277689810140098,9.441230501840073,10.81649440384462,10.05370717409975,10.016142496399766,0.013353489543965733,0.0,0.15079365079365079,0.3333333333333333,0.047619047619047616,2.0,33.333333333333336,117,1400.0,1160.0,117,340.5,0.40476190476190477,1.206896551724138,True,80.0,50.0,0.5612130867725685,0.28805206415841367,114.0,85.0,60.0,66.0,0.07142857142857142,0.6587301587301587,0.18287049143226908,0.3059104457180872,0.13234456567463018,0.1050648801747849,0.09126993446054611
