neighbourhood,listing_count,low_confidence,neighbourhood_group,centroid_lat,centroid_lon,tour_reviews_per_month_mean,tour_reviews_per_month_median,tour_reviews_total_mean,tour_entire_home_share,tour_dist_grote_markt_km_median,tour_dist_centraal_station_km_median,tour_dist_mas_km_median,tour_dist_zoo_km_median,tour_dist_coast_km_median,host_hhi,host_share_10plus,host_top5_share,host_multilisting_share,reg_min30_share,reg_min_nights_median,tenure_months_median,tenure_supporting_listings,rev_uncapped_median,rev_capped_median,rev_supporting_listings,occ_booked_days_median,occ_zero_availability_share,rev_divergence_ratio,occ_proxy_unreliable,price_median,price_iqr,price_cv,price_gini,price_median_entire_home_apt,price_median_hotel_room,price_median_private_room,price_median_shared_room,inactivity_never_reviewed_share,inactivity_stale_since_covid_share,topic_0_loading,topic_1_loading,topic_2_loading,topic_3_loading,topic_4_loading
Amandus - Atheneum,154,False,,51.222927012987014,4.42091,1.556031746031746,0.9299999999999999,40.8051948051948,0.7792207792207793,1.5069275590366216,0.6430630728780227,1.130722885498507,0.6955230409885369,1.6386966521219208,0.013577331759149939,0.12987012987012986,0.16883116883116883,0.44805194805194803,0.025974025974025976,2.0,22.085040983606557,126,1162.5,982.25,126,298.5,0.4025974025974026,1.183507253754136,True,60.0,31.0,0.6389242707326316,0.289030328542785,65.0,,41.5,,0.18181818181818182,0.4675324675324675,0.11352186752468917,0.09874001924432206,0.058690768153030724,0.38054669615871756,0.10174740216599376
Borgerhout Extra Muros,39,True,,51.205647948717946,4.450090769230769,1.0625,0.63,23.487179487179485,0.7692307692307693,3.872569435479984,2.3992313583113956,3.969702764983169,2.3835439435083807,3.8751721400621997,0.03747534516765286,0.0,0.3076923076923077,0.3333333333333333,0.0,2.0,21.53846153846154,32,459.0,434.0,32,310.0,0.38461538461538464,1.0576036866359446,True,60.0,32.5,0.43869501251839343,0.23360566910732292,72.5,,39.0,,0.1794871794871795,0.5897435897435898,0.10773370809002247,0.09722957153394675,0.04676317789593069,0.3609954334689025,0.1821499038829925
Borgerhout Intra Muros Noord,90,True,,51.217804,4.437494,1.3387499999999999,0.745,35.65555555555556,0.5888888888888889,2.661317539760686,1.1280961913193244,2.4266691812824983,1.1660069908798314,2.886020634782499,0.01851851851851852,0.044444444444444446,0.16666666666666666,0.5222222222222223,0.011111111111111112,2.0,21.879175678095685,80,931.5,819.5,80,287.0,0.3888888888888889,1.1366687004270897,True,55.0,48.5,0.8312691527527567,0.3695304321818454,67.0,,30.0,21.0,0.1111111111111111,0.5111111111111111,0.08733357841568913,0.10108810838417001,0.06015163449079874,0.30727171011530596,0.06637719081625838
Borgerhout Intra Muros Zuid,92,True,,51.212980217391305,4.433401304347826,1.2133783783783783,0.635,33.68478260869565,0.5760869565217391,2.512854553616708,0.9490183165559652,2.531155590841027,0.9701845110279483,2.635030088698363,0.024810964083175804,0.010869565217391304,0.2391304347826087,0.4891304347826087,0.010869565217391304,2.0,28.57142857142857,74,867.75,867.75,74,238.5,0.33695652173913043,1.0,True,59.0,46.25,1.8058161796529932,0.4476878027465003,70.0,,47.0,29.0,0.1956521739130435,0.532608695652174,0.05861848080302289,0.06808820452659362,0.04713357271292784,0.327362301789083,0.10749309234228571
Brederode,80,True,,51.203569625,4.396309125,0.8510344827586207,0.46499999999999997,11.6,0.7125,1.9849295129850328,2.258801333673059,3.027868099090023,2.182252720452757,0.17648329954998657,0.026250000000000002,0.125,0.2625,0.4,0.0125,2.0,19.360776439089694,58,367.5,367.5,58,280.0,0.375,1.0,True,65.5,83.75,0.7549067497613174,0.38369344351124357,95.0,,38.0,,0.275,0.5125,0.12334268069405019,0.17414870757757608,0.08249581524662106,0.31213081232376316,0.1453819841579895
Centraal Station,134,False,,51.21565888059702,4.42105156716418,1.385,0.845,24.62686567164179,0.7611940298507462,1.5902675871825198,0.3164659760366362,1.6993654107899936,0.3386942924193046,1.6978920976273113,0.028959679215860998,0.17164179104477612,0.291044776119403,0.6119402985074627,0.0,1.0,16.333333333333336,104,745.0,727.5,104,187.0,0.208955223880597,1.0240549828178693,False,82.0,60.0,1.6726494915703911,0.39843809626860843,91.0,129.0,54.0,37.5,0.22388059701492538,0.40298507462686567,0.10432877911210174,0.03789565320244972,0.08711336959797664,0.444187050433068,0.05035574466932931
Dam,30,True,,51.23299633333333,4.427406,0.8156,0.59,12.766666666666667,0.5333333333333333,2.3936536704686127,1.8268355449110643,1.3963900075659366,1.9015904506645525,1.9773008846850617,0.10444444444444444,0.23333333333333334,0.6,0.6,0.0,1.0,16.494845360824744,25,323.0,323.0,25,365.0,0.5333333333333333,1.0,True,49.0,34.0,0.635083120063785,0.28964033729134403,75.0,,46.5,,0.16666666666666666,0.6666666666666666,0.09832360750450801,0.16255023387643722,0.06414940842824172,0.4359803623863916,0.10566305447108816
Deurne Dorp - Gallifort,10,True,,51.221798,4.462838,1.8450000000000002,1.025,68.8,0.8,4.453243938428184,2.9713458477496797,3.9636703979738854,3.0225261001012904,4.692759022613865,0.10000000000000003,0.0,0.5,0.2,0.0,1.0,25.595238095238095,8,986.5,986.5,8,329.0,0.4,1.0,True,49.0,19.5,0.46649352959277735,0.23535714285714285,54.5,,29.0,,0.2,0.4,0.007216145671571313,0.10981462896945204,0.08484382346285103,0.3057603777588042,0.09236502413732138
Deurne Noord,16,True,,51.230865625,4.452365,1.4745454545454544,1.22,23.0,0.6875,3.8746534073362024,2.6562506347420216,3.0822931225567185,2.7254046629891193,3.7845165857033507,0.0859375,0.125,0.5,0.375,0.0,2.0,12.727272727272727,11,925.0,925.0,11,326.0,0.5,1.0,True,55.0,22.5,0.42886028347451877,0.22415611814345993,60.0,,35.0,,0.3125,0.375,0.11396321127293534,0.12315836470748749,0.02869684366832875,0.2362800912295327,0.12290148912171575
Deurne Oost,9,True,,51.22287111111111,4.478104444444444,1.3128571428571427,0.28,23.333333333333332,0.4444444444444444,5.492928960571138,4.001213032483253,4.984546892396673,4.049883911907416,5.730720163828587,0.1111111111111111,0.0,0.5555555555555556,0.1111111111111111,0.0,1.0,35.981308411214954,7,840.0,795.0,7,297.0,0.4444444444444444,1.0566037735849056,True,45.0,44.0,0.6376900477024677,0.31216931216931215,77.0,,30.0,,0.2222222222222222,0.6666666666666666,0.22301274002171415,0.06478882913049049,0.00385333863020356,0.11751673657262801,0.03527280008940828
