neighbourhood,listing_count,low_confidence,neighbourhood_group,centroid_lat,centroid_lon,tour_reviews_per_month_mean,tour_reviews_per_month_median,tour_reviews_total_mean,tour_entire_home_share,tour_dist_hollywood_km_median,tour_dist_downtown_km_median,tour_dist_universal_km_median,tour_dist_disneyland_km_median,tour_dist_coast_km_median,host_hhi,host_share_10plus,host_top5_share,host_multilisting_share,reg_min30_share,reg_min_nights_median,tenure_months_median,tenure_supporting_listings,rev_uncapped_median,rev_capped_median,rev_supporting_listings,occ_booked_days_median,occ_zero_availability_share,rev_divergence_ratio,occ_proxy_unreliable,price_median,price_iqr,price_cv,price_gini,price_median_entire_home_apt,price_median_hotel_room,price_median_private_room,price_median_shared_room,inactivity_never_reviewed_share,inactivity_stale_since_covid_share,topic_0_loading,topic_1_loading,topic_2_loading,topic_3_loading,topic_4_loading
Acton,3,True,Unincorporated Areas,34.49901,-118.17164333333334,0.95,0.95,2.0,0.3333333333333333,46.62019927381104,50.233569382995604,43.134640508958405,80.80904547049298,61.62200940804133,0.3333333333333333,0.0,1.0,0.0,0.0,2.0,6.315789473684211,1,624.0,624.0,1,73.0,0.0,1.0,False,104.0,80.0,0.5939912401333862,0.23494860499265785,104.0,,175.0,,0.6666666666666666,0.0,0.041535379515182956,0.11364250936910447,0.1728669875881832,0.1120736169580875,0.2265481732361085
Adams-Normandie,41,True,City of Los Angeles,34.03192463414634,-118.29992951219513,1.4703225806451612,0.8,36.53658536585366,0.2682926829268293,8.525399739970904,5.669323663016562,12.707992766551696,42.82681523529409,16.512767392789286,0.041046995835812006,0.0,0.3170731707317073,0.5853658536585366,0.3902439024390244,3.0,33.333333333333336,31,3150.0,937.5,31,276.0,0.1951219512195122,3.36,False,60.0,53.0,0.7804261762849495,0.36531230339297993,139.0,,50.0,40.0,0.24390243902439024,0.34146341463414637,0.07942761459842063,0.11722921360204665,0.11613427004084717,0.42554897713312173,0.09092821730849064
Agoura Hills,37,True,Other Cities,34.14991054054054,-118.75841054054055,0.8097142857142857,0.47,27.054054054054053,0.43243243243243246,38.66082664406853,48.53294000589844,37.022042640393366,86.04193066339084,14.671799013372162,0.04309715120525933,0.0,0.32432432432432434,0.32432432432432434,0.1891891891891892,3.0,33.333333333333336,35,1960.0,1800.0,35,46.0,0.2702702702702703,1.0888888888888888,False,85.0,132.0,1.6716844994688635,0.5874032017928542,305.5,,75.0,,0.05405405405405406,0.43243243243243246,0.09224958339660924,0.16835910236857798,0.15081572964756404,0.3235963141725466,0.10281710825253995
Agua Dulce,13,True,Unincorporated Areas,34.50226307692308,-118.3239976923077,1.0408333333333333,0.71,38.46153846153846,0.6923076923076923,45.22103339567577,50.978989769171754,41.24432888824571,85.6519982392325,56.15325997333238,0.14792899408284024,0.0,0.7692307692307693,0.6923076923076923,0.15384615384615385,2.0,46.453126451732786,12,2720.5,2720.5,12,146.0,0.0,1.0,False,89.0,66.0,1.4146142913127244,0.5651110606862819,110.0,,68.5,,0.07692307692307693,0.46153846153846156,0.05400996367818466,0.17285120233622447,0.17443067842845952,0.36778861342010044,0.15399646521395402
Alhambra,258,False,Other Cities,34.08491352713178,-118.13349201550388,1.8973684210526316,1.565,42.97674418604651,0.4806201550387597,19.228782210065077,10.883364481301438,21.17121937856291,36.18198941556594,32.85769288120881,0.00904392764857881,0.06201550387596899,0.10077519379844961,0.6395348837209303,0.050387596899224806,2.0,23.472022955523673,228,2045.5,1806.0,228,234.0,0.2441860465116279,1.1326135105204873,False,70.0,75.75,0.8184039681818741,0.3687139391773755,124.5,,50.0,44.5,0.11627906976744186,0.31007751937984496,0.17454297187382856,0.15909904915207368,0.12089869326576956,0.24144013951251658,0.08308891363767211
Alondra Park,13,True,Unincorporated Areas,33.89187923076923,-118.33573076923076,2.018181818181818,1.72,40.0,0.6923076923076923,23.25773136361869,19.922198710277105,27.34822883309122,39.39568997601563,6.973086448169914,0.07692307692307694,0.0,0.38461538461538464,0.07692307692307693,0.07692307692307693,2.0,26.724137931034484,11,4950.0,4227.5,11,164.0,0.15384615384615385,1.1709047900650502,False,110.0,130.0,0.6100105768082402,0.32698306060751475,120.0,,39.0,,0.15384615384615385,0.23076923076923078,0.2168235831087042,0.21960547252082546,0.1117018326386571,0.29630184634898715,0.15556726538282611
Altadena,228,False,Unincorporated Areas,34.18970144736842,-118.13552798245614,1.3318536585365852,0.84,38.44298245614035,0.6798245614035088,21.043283169061077,18.2440615342056,20.72372179272022,46.55448059149421,38.24665759080128,0.010811018775007694,0.07017543859649122,0.13596491228070176,0.5,0.017543859649122806,2.0,34.23913043478261,205,3003.0,2700.0,205,223.5,0.2149122807017544,1.1122222222222222,False,100.0,111.0,1.3050895885709783,0.4791009048472379,125.0,,61.0,,0.10087719298245613,0.3333333333333333,0.14993728482189508,0.1809715886400184,0.15978184655714273,0.3174665605341394,0.09535149137662895
Angeles Crest,3,True,Unincorporated Areas,34.32172333333333,-117.65694333333333,1.8466666666666667,2.25,82.66666666666667,0.6666666666666666,69.43036599951544,64.17404584636142,68.94716154455818,66.13846765337281,83.90982089545683,0.3333333333333333,0.0,1.0,0.0,0.0,2.0,32.888888888888886,3,7920.0,7920.0,3,195.0,0.0,1.0,False,125.0,168.0,0.9202114827146298,0.3855421686746988,260.5,,60.0,,0.0,0.0,0.3635404760217502,0.01154759551908229,0.15973140671018518,0.13184718841564894,0.0
Arcadia,185,False,Other Cities,34.12817264864865,-118.04076724324324,0.747972027972028,0.33,13.41081081081081,0.31891891891891894,27.633344381626397,20.09823207868176,29.032829580184906,37.05896465671987,42.11595987183133,0.01054784514243973,0.05945945945945946,0.11351351351351352,0.6162162162162163,0.11891891891891893,2.0,23.076923076923077,143,789.0,437.5,143,202.0,0.2864864864864865,1.8034285714285714,False,80.0,94.0,1.2478571750321952,0.4491144378913923,153.0,,60.0,50.0,0.22702702702702704,0.5081081081081081,0.12641235607609225,0.11390225467079178,0.1416269481361845,0.21036856944319698,0.09417635816022095
Arleta,5,True,City of Los Angeles,34.244158,-118.438232,1.392,0.52,21.4,0.4,18.874100577130935,28.50446489774042,14.806673072777924,68.55937027934343,25.75017663937527,0.28,0.0,1.0,0.6,0.2,1.0,16.071428571428573,5,702.0,364.0,5,38.0,0.0,1.9285714285714286,False,52.0,2.0,0.1982398487432781,0.08529411764705883,61.5,,52.0,,0.0,0.0,0.273411349087463,0.08270410559519917,0.1292378798719517,0.22910848034955858,0.0855381850958276
