neighbourhood,listing_count,low_confidence,neighbourhood_group,centroid_lat,centroid_lon,tour_reviews_per_month_mean,tour_reviews_per_month_median,tour_reviews_total_mean,tour_entire_home_share,tour_dist_corcovado_km_median,tour_dist_sugarloaf_km_median,tour_dist_maracana_km_median,tour_dist_centro_km_median,tour_dist_coast_km_median,host_hhi,host_share_10plus,host_top5_share,host_multilisting_share,reg_min30_share,reg_min_nights_median,tenure_months_median,tenure_supporting_listings,rev_uncapped_median,rev_capped_median,rev_supporting_listings,occ_booked_days_median,occ_zero_availability_share,rev_divergence_ratio,occ_proxy_unreliable,price_median,price_iqr,price_cv,price_gini,price_median_entire_home_apt,price_median_hotel_room,price_median_private_room,price_median_shared_room,inactivity_never_reviewed_share,inactivity_stale_since_covid_share,topic_0_loading,topic_1_loading,topic_2_loading,topic_3_loading,topic_4_loading
Abolição,7,True,,-22.888037142857144,-43.297314285714286,0.14500000000000002,0.14500000000000002,0.2857142857142857,0.7142857142857143,11.41585800853875,16.196405903978214,7.436533585982853,12.928110050166094,10.704196958967865,0.14285714285714285,0.0,0.7142857142857143,0.14285714285714285,0.0,2.0,26.85185185185185,2,296.75,296.75,2,282.0,0.42857142857142855,1.0,True,498.0,489.5,0.67974850631441,0.34989526602429827,584.0,,198.0,134.0,0.7142857142857143,0.2857142857142857,0.05098723739214426,0.0,0.1437007250814481,0.17399999704179514,0.3455977547703268
Alto da Boa Vista,59,True,,-22.963612542372882,-43.26557322033898,0.5485714285714286,0.22,3.847457627118644,0.711864406779661,6.4583740187030765,12.173640397465778,7.516642180083584,11.935953895681694,4.085989116649892,0.022694627980465384,0.0847457627118644,0.1864406779661017,0.2542372881355932,0.03389830508474576,2.0,17.91044776119403,21,1824.0,1824.0,21,186.0,0.3220338983050847,1.0,True,701.0,1378.5,4.2193975485523705,0.8333507649634889,1001.0,,171.0,840.5,0.6440677966101694,0.2542372881355932,0.15315826126359275,0.06516581772034266,0.08286985375237485,0.27175612295379015,0.24060926634379787
Anchieta,7,True,,-22.82344,-43.40126857142857,0.25,0.25,1.2857142857142858,0.8571428571428571,24.294245322747052,28.97402531885177,20.19966025782626,25.247132621785315,19.657662425305425,0.14285714285714285,0.0,0.7142857142857143,0.14285714285714285,0.0,3.0,36.0,1,909.0,909.0,1,275.0,0.42857142857142855,1.0,True,699.0,983.0,1.256705282950246,0.5533419023136247,699.0,,,701.0,0.8571428571428571,0.14285714285714285,0.14347199467725444,0.016093519143900732,0.4355709008733299,0.17970325652939664,0.08230318591897544
Andaraí,83,True,,-22.92444518072289,-43.24750469879518,0.26916666666666667,0.175,1.9156626506024097,0.46987951807228917,4.847487211195573,9.887624658734168,2.254674227498173,7.86513457383567,7.361097874087173,0.014951371752068511,0.0,0.14457831325301204,0.24096385542168675,0.012048192771084338,1.0,23.026315789473685,24,180.0,180.0,24,234.0,0.3855421686746988,1.0,True,198.0,524.5,2.671502315036407,0.7553579207429673,614.0,,82.5,101.5,0.7108433734939759,0.24096385542168675,0.14050830425118538,0.07901278786480515,0.1335673579420662,0.20603189515078757,0.272204955995975
Anil,60,True,,-22.951501666666665,-43.3376455,0.48866666666666664,0.11,1.4166666666666667,0.5166666666666667,12.950776707482785,18.684084977662607,11.719937184233356,17.455880295514437,6.5482521098859685,0.020555555555555546,0.0,0.18333333333333332,0.2833333333333333,0.0,3.0,15.625,15,600.0,600.0,15,229.5,0.38333333333333336,1.0,True,265.0,403.25,1.4994892919196487,0.610260612573885,498.0,,182.0,75.0,0.75,0.23333333333333334,0.15246028005981135,0.11370745295069963,0.2644664049263762,0.20537576577324163,0.21399009628987123
Bancários,3,True,,-22.79675,-43.17369666666667,,,0.0,0.3333333333333333,17.65318938307751,17.06694601588013,14.072231777855935,12.236353003766556,5.2256305581972935,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,,0,,,0,365.0,0.6666666666666666,,True,102.0,48.5,0.4168320038959268,0.16126350789692437,198.0,,101.5,,1.0,0.0,0.27076704638349236,0.12484622146751334,0.04133435095951365,0.4772554383749538,0.08579694281452689
Bangu,22,True,,-22.866984545454546,-43.469151818181814,0.685,0.685,0.6363636363636364,0.45454545454545453,27.925638017292272,33.23297323691675,24.735252513272997,30.431884194615847,16.853288399724914,0.045454545454545456,0.0,0.22727272727272727,0.13636363636363635,0.0,1.5,23.977823977823977,2,310.0,310.0,2,96.0,0.22727272727272727,1.0,False,219.5,353.75,3.712207126880831,0.8785944264069264,388.0,,180.0,150.0,0.9090909090909091,0.045454545454545456,0.1801910073328644,0.10902523677086506,0.19571187628257453,0.1427841477762479,0.09956045911017543
Barra da Tijuca,4023,False,,-23.00458369873229,-43.35440879443202,0.50542269967305,0.26,7.207805120556799,0.7795177728063634,15.069736765337005,20.569124712795542,15.566548847928479,20.749100618543746,0.9072849301930519,0.0007123469580115676,0.08351976137211037,0.030325627641063883,0.3775789212030823,0.023117076808351976,2.0,29.166666666666668,2141,2085.0,1980.0,2141,225.0,0.3482475764354959,1.053030303030303,True,450.0,799.0,2.436620931660468,0.6591431834261042,562.0,397.0,201.0,175.5,0.4678100919711658,0.4009445687298036,0.20101782748495947,0.049289589478045334,0.14728764580070253,0.3407896554517871,0.13061851320384438
Barra de Guaratiba,75,True,,-23.054236933333335,-43.56060253333333,0.4259459459459459,0.26,4.2,0.5866666666666667,38.14064408069361,43.69149002886745,37.96769558466778,43.5476112363804,11.258861435740375,0.02968888888888889,0.0,0.28,0.48,0.013333333333333334,1.0,25.0,37,538.5,538.5,37,7.0,0.13333333333333333,1.0,False,262.0,311.0,5.160553937058112,0.7765372055630149,353.5,,198.0,75.0,0.5066666666666667,0.36,0.29732934916611453,0.054717400934922,0.04717325758283593,0.23198205139440664,0.12879794092172084
Barros Filho,3,True,,-22.836333333333332,-43.36665666666667,,,0.0,0.0,20.590760423163577,25.151788146639536,16.3861005577351,21.379793982028932,16.040766238577238,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,,0,,,0,0.0,0.0,,False,102.0,214.0,1.0674887305247218,0.42587064676616915,,,102.0,,1.0,0.0,0.1442888234443576,0.45738566698676714,0.09807674666568307,0.17978486126046814,0.12046390164272407
